colname,attr,info
odor,a,almond
odor,l,anise
odor,c,creosote
odor,y,fishy
odor,f,foul
odor,m,musty
odor,n,none
odor,p,pungent
odor,s,spicy
odor,e,enlarging
odor,t,tapering
population,a,abundant
population,c,clustered
population,n,numerous
population,s,scattered
population,v,several
population,y,solitary
habitat,g,grasses
habitat,l,leaves
habitat,m,meadows
habitat,p,paths
habitat,u,urban
habitat,w,waste
habitat,d,woods
stalk_shape,e,enlarging
stalk_shape,t,tapering
stalk_root,b,bulbous
stalk_root,c,club
stalk_root,u,cup
stalk_root,e,equal
stalk_root,z,rhizomorphs
stalk_root,r,rooted
